ID,Title,URL,Image,Description,Price,Old price,Currency,custom_label_0
1,,,,,,,RUB,Каталог товаров
2,,,,,,,RUB,Каталог товаров
3,,,,,,,RUB,Каталог товаров
4,,,,,,,RUB,Каталог товаров
5,,,,,,,RUB,Каталог товаров
6,,,,,,,RUB,Каталог товаров
7,,,,,,,RUB,Каталог товаров
8,,,,,,,RUB,Каталог товаров
9,,,,,,,RUB,Каталог товаров
10,,,,,,,RUB,Каталог товаров
11,,,,,,,RUB,Каталог товаров
12,,,,,,,RUB,Каталог товаров
13,,,,,,,RUB,Каталог товаров
14,,,,,,,RUB,Каталог товаров
15,,,,,,,RUB,Каталог товаров
16,,,,,,,RUB,Каталог товаров
17,,,,,,,RUB,Каталог товаров
18,,,,,,,RUB,Каталог товаров
19,,,,,,,RUB,Каталог товаров
